value_id;source_product_code;source_service_code;source_service_char_code;source_field_number;source_column;target_attribute_path;default_value;value_type;apply_method;target_multiple_occurrence;rds_id;valid_from;valid_until;parent_service_code;som_attribute_path;prefix;dependent_char_code;main_bundle_access;sid_attribute_path;open_order_indicator;fixed_value;introduction_version;
BKSGC_5329;I1100;I1040;;;PRICING_STRUCTURE_NAME;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.PricingStructureBillingName.Existing;;;;;;;;
BKSGC_5330;I1100;I1040;;;SERVICE_CODE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.MainAccessServiceCode.Existing;;;;;;;;
BKSGC_5331;I1100;I1040;;;CONTRACT_END_DATE;;;CONTRACT;;N;;01.01.1979;01.01.3000;;Functions.Internet.AdslInternetConfiguration.ContractExpirationDate.Existing;;;;;;;;
BKSGC_5332;V0002;V0113;V0826;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.DSLBandwidth.Existing;;;;;;;;
BKSGC_5333;V0002;V0113;V0875;;;;;CONFIGURED_VALUE;convertToBoolean;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.AllowBandwidthDowngrade.Existing;;;;;;;;
BKSGC_5334;V0002;V0113;V0876;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.DesiredBandwidth.Existing;;;;;;;;
BKSGC_5335;V0002;V0088;V0826;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.DSLBandwidth.Existing;;;;;;;;
BKSGC_5336;V0002;V0088;V0875;;;;;CONFIGURED_VALUE;convertToBoolean;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.AllowBandwidthDowngrade.Existing;;;;;;;;
BKSGC_5337;V0002;V0088;V0876;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0010;Functions.Internet.AdslInternetConfiguration.DesiredBandwidth.Existing;;;;;;;;
BKSGC_5338;V0002;V0088;V0826;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.DSLBandwidth.Existing;;;;;;;;
BKSGC_5339;V0002;V0088;V0875;;;;;CONFIGURED_VALUE;convertToBoolean;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.AllowBandwidthDowngrade.Existing;;;;;;;;
BKSGC_5340;V0002;V0088;V0876;;;;;CONFIGURED_VALUE;convertBandwidthDSL;N;;01.01.1979;01.01.3000;V0003;Functions.Internet.AdslInternetConfiguration.DesiredBandwidth.Existing;;;;;;;;
BKSGC_5341;V0002;V0114;V0112;;;;00000000;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;V0003;Functions.Hardware.HardwareConfiguration.ArticleNumber.Existing;;;;;;;;
BKSGC_5342;V0002;V0114;V0116;;;;;CONFIGURED_VALUE;truncateString100;N;;01.01.1979;01.01.3000;V0003;Functions.Hardware.HardwareConfiguration.ArticleName.Existing;;;;;;;;
BKSGC_5343;V0002;V0114;V0109;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;V0003;Functions.Hardware.HardwareConfiguration.SerialNumber.Existing;;;;;;;;
BKSGC_5344;V0002;V0114;-;;;;Doku - Kein Versand;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;V0003;Functions.Hardware.HardwareConfiguration.OrderReason.Existing;;;;;;;;
BKSGC_5345;V0002;V0114;V0114;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;V0003;Functions.Hardware.HardwareConfiguration.SubventionCode.Existing;;;;;;;;
